toi,tid,tfopwg_disp,ra,dec,pl_rade,pl_orbper,pl_trandurh,pl_trandep,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate,in_habitable_zone,is_planet,planet_size_category_Earth-sized,planet_size_category_Jupiter-sized,planet_size_category_Neptune-sized,planet_size_category_Super-Earth,star_temp_category_G-dwarf,star_temp_category_Hot-star,star_temp_category_K-dwarf,star_temp_category_M-dwarf
247.01,160148385,KP,1.04657,-47.360635,14.3752921,3.4252563,2.4617762,14223.1726719,546.4855387,1233.1457715,11.9116,352.464,5540.0,4.42136,1.11655,2018-11-29 21:52:42,2024-09-19 10:08:01,0,1,False,True,False,False,True,False,False,False
2470.01,298981199,PC,70.428548,-0.600003,2.12356,7.1853092,2.347,800.0,37.1797,687.0,10.0632,66.7536,4562.0,4.56,0.74,2021-02-03 23:44:46,2024-01-23 12:02:45,0,1,False,False,False,True,False,False,True,False
2471.01,71088556,PC,66.514805,-12.51168,13.2476,6.5857043,2.777,1420.0,891.424,1522.0,10.4723,499.452,5908.4,3.55,2.88,2021-02-03 23:44:47,2021-10-29 12:59:15,0,1,False,True,False,False,True,False,False,False
2472.01,248650906,PC,67.042733,-3.145653,3.35556,4.09008295,6.71,390.0,232.874,1088.0,8.94848,148.667,5824.0,4.0,1.69,2021-02-03 23:44:47,2021-10-29 12:59:15,0,1,False,False,False,True,True,False,False,False
2473.01,399868187,PC,74.374979,10.416737,17.567,1.2311781,2.756,3562.0,27258.8,3579.0,10.5347,284.183,6589.1,4.21,1.53,2021-02-03 23:44:47,2024-01-02 12:02:50,0,1,False,True,False,False,False,True,False,False
2474.01,449257028,PC,79.844207,3.122675,5.33342,4.278752,4.11,220.0,479.761,1303.0,7.82622,132.686,4971.0,4.33,3.5,2021-02-03 23:44:47,2021-10-29 12:59:15,0,1,False,False,True,False,False,False,True,False
2475.01,373453507,FP,76.524234,10.594174,4.82429,15.7925628,2.823,1190.0,24.617,620.0,10.7302,235.608,5600.0,4.16,1.37,2021-02-03 23:44:47,2021-10-29 12:59:15,0,0,False,False,True,False,True,False,False,False
2476.01,43868600,APC,78.108877,-7.257924,14.0296,3.8865992,2.909,590.0,247.041,1104.0,10.1263,537.765,4731.6,4.33,5.67,2021-02-03 23:44:47,2021-11-22 12:01:46,0,0,False,True,False,False,False,False,True,False
2477.01,412054152,PC,79.742457,15.203062,12.9584,34.7769296,5.598,1383.0,511.815,229.0,10.2422,362.227,7505.2,4.09,1.96,2021-02-03 23:44:47,2024-01-03 10:08:03,1,1,False,True,False,False,False,True,False,False
2478.01,262435954,PC,73.554354,1.233623,2.737769,2.6473916,2.8595222,568.2994163,871.0969851,1385.5952225,10.6827,209.93,5748.0,4.34,1.1287,2021-02-03 23:44:48,2021-10-29 12:59:15,0,1,False,False,False,True,True,False,False,False
